Wilayah,Keterangan,Lokasi,Jenis Pelanggaran
Jakarta Pusat,Jl. Poncol,Jl. Poncol,Tanpa Lahan Parkir
Jakarta Utara,Jl. Boulevard Raya Kelapa Gading,Jl. Boulevard Raya Kelapa Gading,Parkir dibadan jalan
Jakarta Utara,Jl. Boulevard  Barat Raya Kelapa Gading,Jl. Boulevard  Barat Raya Kelapa Gading,Parkir dibadan jalan
Jakarta Utara,Jl. Raya kelapa Hibryda (Depan sekolah Penabur),Jl. Raya kelapa Hibryda (Depan sekolah Penabur),Parkir dibadan jalan
Jakarta Utara,Jl. Kelapa Nias Raya,Jl. Kelapa Nias Raya,Parkir dibadan jalan
Jakarta Utara,Jl. Raya Boulevard Timur (Depan sekolah Al-Azhar),Jl. Raya Boulevard Timur (Depan sekolah Al-Azhar),Parkir dibadan jalan
Jakarta Barat,Jl. Tali samping Hotel Panin Sula (Timur - Barat),Jl. Tali samping Hotel Panin Sula (Timur - Barat),Parkir dibadan jalan
Jakarta Barat,Jl. Tali Samping BCA (Barat - Timur),Jl. Tali Sampaing BCA (Barat - Timur),Parkir dibadan jalan
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota (Selatan - Utara),Dibawah Jembatan Metro Glodok Kota (Selatan - Utara),Parkir dibadan jalan
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota / Depan POSPOL  ( Utara - Selatan ),Dibawah Jembatan Metro Glodok Kota / Depan POSPOL  ( Utara - Selatan ),Parkir dibadan jalan
Jakarta Barat,Jl. Kyai Tapa depan Sumber Waras (Timur - Barat),Jl. Kyai Tapa depan Sumber Waras (Timur - Barat),Parkir dibadan jalan
Jakarta Barat,Jl. Kyai Tapa depan Trisakti ( Timur - Barat ),Jl. Kyai Tapa depan Trisakti ( Timur - Barat ),Parkir dibadan jalan
Jakarta Barat,Jl. Jembatan Lima ( Utara - Selatan ),Jl. Jembatan Lima ( Utara - Selatan ),Parkir dibadan jalan
Jakarta Barat,Jl. Jembatan Lima ( Selatan - Utara ) ,Jl. Jembatan Lima ( Selatan - Utara ) ,Parkir dibadan jalan
Jakarta Barat,Jl. Piontu Kecil ( Timur - barat ),Jl. Piontu Kecil ( Timur - barat ),Parkir dibadan jalan
Jakarta Barat,Jl. Pinang Sia Raya ( Utara - Selatan ),Jl. Pinang Sia Raya ( Utara - Selatan ),Parkir dibadan jalan
Jakarta Barat,Jl. S. Parman depan toko buah segar,Jl. S. Parman depan toko buah segar,Parkir dibadan jalan
