Nama Tempat Parkir,Jenis Lokasi,Alamat,Wilayah,Luas Area (m2),Kapasitas Mobil (unit),Kapasitas Motor,Kapasitas Bus Truk
Gedung Parkir Istana Pasar Baru (8 Lt),Gedung,"Jl. Pintu Air Raya, Ps. Baru, Sawah Besar, Jakarta Pusat",Jakarta Pusat,12432,445,130,0
Gedung Parkir Taman Menteng (3 Lt.),Gedung,"Jl. HOS. Cokroaminoto No.9, Gondangdia, Menteng, Jakarta Pusat",Jakarta Pusat,4455,152,300,0
Pelataran Parkir IRTI Monas,Pelataran,"Jl. Medan Merdeka Selatan, Gambir, Jakarta Pusat",Jakarta Pusat,18450,352,1250,12
Pelataran Ex Gedung Parkir Glodok,Pelataran,"Jl. Pintu Besar Selatan No.1, Pinangsia, Tamansari, Jakarta Barat",Jakarta Barat,4640,80,180,0
Pelataran Cengkeh/Taman Kota Intan,Pelataran,"Jl. Cengkeh No. 21, Pinangsia, Tamansari, Jakarta Barat",Jakarta Barat,3408,85,120,12
Pelataran Taman Ismail Marzuki (TIM),Pelataran,"Jl. Cikini Raya, Cikini, Menteng, Jakarta Pusat",Jakarta Pusat,3801,240,470,8
Pelataran Thamrin 10,Pelataran,"Jl. M.H. Thamrin No.10, Kb. Sirih, Menteng, Kota Jakarta Pusat",Jakarta Pusat,2720,250,0,15
Pelataran Parking Garage Muara Bahari Street,Pelataran,"Jl. Muara Bahari No.66, Sunter Agung, Tj. Priok, Jakarta Utara",Jakarta Utara,1020,100,200,5
Pelataran Parkir Pulogebang,Pelataran,"Jl. Cakung No.15, Pulo Gebang, Cakung, Jakarta Timur,",Jakarta Timur,962,170,250,0
Pelataran Parkir Unit PKB dan BBN KB Jakarta Pusat dan Utara,Pelataran,"Jl. Gunung Sahari No. 13, Kemayoran, Jakarta Pusat",Jakarta Pusat,3804,180,800,6
Pelataran Parkir Unit PKB dan BBN KB Jakarta Timur,Pelataran,"Jl. D.I Panjaitan Kav. 55, Jakarta Timur",Jakarta Timur,7292,400,1097,11
Pelataran Parkir Unit PKB dan BBN KB Jakarta Barat,Pelataran,"Jl. Daan Mogot KM 13, Cengkareng, Jakarta Barat",Jakarta Barat,3443,120,720,4
Pelataran Parkir RPTRA Kalijodo,Pelataran,"Jl. Pangeran Tubagus Angke No.19, Jakarta Barat",Jakarta Barat,13632,113,1200,10
Park and Ride Vertical Ragunan,Park and Ride,"Jl. Saco No. 1B Ragunan, Ps. Minggu, Kota Jakarta Selatan",Jakarta Selatan,1410,8,800,0
Park and Ride Kampung Rambutan,Park and Ride,"Jl. Lingkar Luar Selatan, Kampung Rambutan, Jakarta Timur",Jakarta Timur,2034,95,120,0
Park and Ride Kalideres,Park and Ride,"Jl. Raya Daan Mogot, Kalideres, Jakarta Barat",Jakarta Barat,5075,100,300,0
,,,,, ,,
